key|value|comment
knowledge.intro.title@de|Technisches Glossar|Knowledge intro title German
knowledge.intro.title@en|Technical Glossary|Knowledge intro title English
knowledge.intro.description@de|Auf dieser Seite finden Sie klare Erklärungen wichtiger technischer Begriffe, die in meinen Projekten und auf dieser Website verwendet werden.|Knowledge intro description German
knowledge.intro.description@en|On this page you'll find clear explanations of important technical terms used in my projects and on this website.|Knowledge intro description English
