key|value|comment
knowledge.intro.title@de|Technisches Glossar|Intro title German
knowledge.intro.title@en|Technical Glossary|Intro title English
knowledge.intro.description@de|Auf dieser Seite finden Sie anschauliche Erklärungen zu wichtigen Fachtermini aus meinen Projekten und dieser Webseite.|Intro description German
knowledge.intro.description@en|On this page you'll find clear explanations of important technical terms used in my projects and on this website.|Intro description English
knowledge.page.title@de|Wissen|Page title German
knowledge.page.title@en|Knowledge|Page title English
